resultados
13.9789
15.5747
15.5747
17.0089
17.0089
15.3842
13.9134
13.9134
13.9434
13.258
15.9626
14.6236
14.2763
14.2763
16.1124
15.0586
15.0586
13.4024
13.4024
14.7443
15.4006
13.7428
16.3982
15.5207
15.5207
14.4203
14.4903
14.4903
13.9197
13.9197
14.623
14.623
14.4409
14.9272
15.621
15.2147
15.2812
14.3279
14.3279
13.0843
14.8523
15.7414
15.7414
14.7806
16.8333
13.4259
13.9873
17.0099
14.8271
13.993
13.993
13.7727
15.7089
13.6085
15.8415
16.5695
16.5695
15.8583
15.8583
13.3679
13.1584
13.1584
15.7862
14.0861
17.0106
13.513
13.5254
13.5254
15.9254
16.5009
15.2628
15.2628
13.6678
15.084
14.4082
14.7305
14.7305
13.9296
13.9296
13.3059
13.902
13.902
15.3781
15.3781
15.331
14.2052
13.4922
14.1642
15.0308
14.9172
13.945
15.0434
15.0434
13.3791
13.3791
13.6032
13.6032
14.7479
16.1661
15.544
